,Scores,Card,Loss
97,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E580>,"tf.Tensor(40.56167, shape=(), dtype=float32)"
98,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E510>,"tf.Tensor(15.4217005, shape=(), dtype=float32)"
99,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E5F0>,"tf.Tensor(72.94666, shape=(), dtype=float32)"
100,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E660>,"tf.Tensor(65.996284, shape=(), dtype=float32)"
101,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E6D0>,"tf.Tensor(34.307396, shape=(), dtype=float32)"
102,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E740>,"tf.Tensor(26.044815, shape=(), dtype=float32)"
103,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E7B0>,"tf.Tensor(36.070587, shape=(), dtype=float32)"
104,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E820>,"tf.Tensor(21.01175, shape=(), dtype=float32)"
105,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E890>,"tf.Tensor(20.886837, shape=(), dtype=float32)"
106,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E900>,"tf.Tensor(19.574715, shape=(), dtype=float32)"
107,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E970>,"tf.Tensor(31.24234, shape=(), dtype=float32)"
108,30,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E9E0>,"tf.Tensor(19.923086, shape=(), dtype=float32)"
109,1,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EA50>,"tf.Tensor(47.27047, shape=(), dtype=float32)"
110,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EAC0>,"tf.Tensor(24.39715, shape=(), dtype=float32)"
111,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EB30>,"tf.Tensor(25.35363, shape=(), dtype=float32)"
112,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333E4A0>,"tf.Tensor(53.5519, shape=(), dtype=float32)"
113,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EC80>,"tf.Tensor(37.4971, shape=(), dtype=float32)"
114,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EC10>,"tf.Tensor(15.269554, shape=(), dtype=float32)"
115,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333ECF0>,"tf.Tensor(16.244865, shape=(), dtype=float32)"
116,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333ED60>,"tf.Tensor(33.873104, shape=(), dtype=float32)"
117,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EDD0>,"tf.Tensor(13.510595, shape=(), dtype=float32)"
118,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EE40>,"tf.Tensor(55.362, shape=(), dtype=float32)"
119,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EEB0>,"tf.Tensor(11.166382, shape=(), dtype=float32)"
120,54,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EF20>,"tf.Tensor(30.953388, shape=(), dtype=float32)"
121,53,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EF90>,"tf.Tensor(22.165237, shape=(), dtype=float32)"
122,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975333EBA0>,"tf.Tensor(8.216287, shape=(), dtype=float32)"
123,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344040>,"tf.Tensor(39.849556, shape=(), dtype=float32)"
124,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344120>,"tf.Tensor(35.852825, shape=(), dtype=float32)"
125,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344190>,"tf.Tensor(20.922384, shape=(), dtype=float32)"
126,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344200>,"tf.Tensor(22.766384, shape=(), dtype=float32)"
127,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344270>,"tf.Tensor(26.49606, shape=(), dtype=float32)"
128,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533440B0>,"tf.Tensor(33.111973, shape=(), dtype=float32)"
129,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533443C0>,"tf.Tensor(19.309052, shape=(), dtype=float32)"
130,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344350>,"tf.Tensor(12.750148, shape=(), dtype=float32)"
131,33,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344430>,"tf.Tensor(25.30494, shape=(), dtype=float32)"
132,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533444A0>,"tf.Tensor(24.08198, shape=(), dtype=float32)"
133,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344510>,"tf.Tensor(22.258589, shape=(), dtype=float32)"
134,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344580>,"tf.Tensor(40.38538, shape=(), dtype=float32)"
135,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533445F0>,"tf.Tensor(7.4189434, shape=(), dtype=float32)"
136,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344660>,"tf.Tensor(16.002827, shape=(), dtype=float32)"
137,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533446D0>,"tf.Tensor(44.36962, shape=(), dtype=float32)"
138,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344740>,"tf.Tensor(29.287554, shape=(), dtype=float32)"
139,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533447B0>,"tf.Tensor(20.999205, shape=(), dtype=float32)"
140,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344820>,"tf.Tensor(15.5866585, shape=(), dtype=float32)"
141,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344890>,"tf.Tensor(13.512454, shape=(), dtype=float32)"
142,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344900>,"tf.Tensor(48.400223, shape=(), dtype=float32)"
143,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344970>,"tf.Tensor(15.033319, shape=(), dtype=float32)"
144,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533442E0>,"tf.Tensor(11.962093, shape=(), dtype=float32)"
145,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344AC0>,"tf.Tensor(17.378288, shape=(), dtype=float32)"
146,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344A50>,"tf.Tensor(6.8674884, shape=(), dtype=float32)"
147,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344B30>,"tf.Tensor(23.648506, shape=(), dtype=float32)"
148,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344BA0>,"tf.Tensor(32.70876, shape=(), dtype=float32)"
149,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344C10>,"tf.Tensor(25.965836, shape=(), dtype=float32)"
150,24,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344C80>,"tf.Tensor(25.525436, shape=(), dtype=float32)"
151,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344CF0>,"tf.Tensor(31.286758, shape=(), dtype=float32)"
152,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344D60>,"tf.Tensor(20.070995, shape=(), dtype=float32)"
153,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344DD0>,"tf.Tensor(10.49007, shape=(), dtype=float32)"
154,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344E40>,"tf.Tensor(27.368164, shape=(), dtype=float32)"
155,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344EB0>,"tf.Tensor(12.560032, shape=(), dtype=float32)"
156,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344F20>,"tf.Tensor(49.980595, shape=(), dtype=float32)"
157,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753344F90>,"tf.Tensor(16.827383, shape=(), dtype=float32)"
158,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533449E0>,"tf.Tensor(24.541359, shape=(), dtype=float32)"
159,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341040>,"tf.Tensor(37.466236, shape=(), dtype=float32)"
160,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533410B0>,"tf.Tensor(29.34261, shape=(), dtype=float32)"
161,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341200>,"tf.Tensor(29.943768, shape=(), dtype=float32)"
162,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341190>,"tf.Tensor(13.361256, shape=(), dtype=float32)"
163,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341270>,"tf.Tensor(50.468792, shape=(), dtype=float32)"
164,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533412E0>,"tf.Tensor(26.87208, shape=(), dtype=float32)"
165,40,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341350>,"tf.Tensor(13.688478, shape=(), dtype=float32)"
166,33,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533413C0>,"tf.Tensor(44.42433, shape=(), dtype=float32)"
167,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341430>,"tf.Tensor(16.86354, shape=(), dtype=float32)"
168,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533414A0>,"tf.Tensor(41.083946, shape=(), dtype=float32)"
169,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341510>,"tf.Tensor(22.505184, shape=(), dtype=float32)"
170,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341580>,"tf.Tensor(21.07386, shape=(), dtype=float32)"
171,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533415F0>,"tf.Tensor(18.021997, shape=(), dtype=float32)"
172,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341660>,"tf.Tensor(32.839283, shape=(), dtype=float32)"
173,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533416D0>,"tf.Tensor(25.73615, shape=(), dtype=float32)"
174,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341740>,"tf.Tensor(61.483604, shape=(), dtype=float32)"
175,29,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533417B0>,"tf.Tensor(30.738913, shape=(), dtype=float32)"
176,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341120>,"tf.Tensor(15.38995, shape=(), dtype=float32)"
177,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341900>,"tf.Tensor(21.901138, shape=(), dtype=float32)"
178,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341890>,"tf.Tensor(22.766655, shape=(), dtype=float32)"
179,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341970>,"tf.Tensor(17.329388, shape=(), dtype=float32)"
180,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533419E0>,"tf.Tensor(10.929515, shape=(), dtype=float32)"
181,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341A50>,"tf.Tensor(40.187984, shape=(), dtype=float32)"
182,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341AC0>,"tf.Tensor(12.603765, shape=(), dtype=float32)"
183,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341B30>,"tf.Tensor(10.9625, shape=(), dtype=float32)"
184,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341BA0>,"tf.Tensor(12.716314, shape=(), dtype=float32)"
185,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341C10>,"tf.Tensor(20.567835, shape=(), dtype=float32)"
186,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341C80>,"tf.Tensor(7.3904247, shape=(), dtype=float32)"
187,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341CF0>,"tf.Tensor(8.213428, shape=(), dtype=float32)"
188,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341D60>,"tf.Tensor(37.413307, shape=(), dtype=float32)"
189,30,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341DD0>,"tf.Tensor(16.648266, shape=(), dtype=float32)"
190,32,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341E40>,"tf.Tensor(34.442867, shape=(), dtype=float32)"
191,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341EB0>,"tf.Tensor(47.75247, shape=(), dtype=float32)"
192,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341820>,"tf.Tensor(10.873909, shape=(), dtype=float32)"
193,30,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753341F90>,"tf.Tensor(27.994759, shape=(), dtype=float32)"
