,0,1,2,3,4
11,[4 3 2 1 5 2 0 0 0 0 4 0 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 1.9733777   0.50063485 -2.3513725  -0.42594153 -0.02107519 10.        ], shape=(6,), dtype=float32)",0.0,[5 1 0 0 0 0 0 2 1 1 3 5 0 0 0 4 5 0 0 0 0 0 0 0 15],False
12,[5 1 0 0 0 0 0 2 1 1 3 5 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 1.9555643   0.39993048 -2.0300117  -0.57989144  0.01106489 10.        ], shape=(6,), dtype=float32)",0.1,[5 2 4 0 0 0 0 0 4 1 5 1 0 0 0 4 5 0 0 0 0 0 0 0 15],False
13,[5 2 4 0 0 0 0 0 4 1 5 1 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.0301363   0.67949224 -1.8949323  -0.47268698 -0.1034117  10.        ], shape=(6,), dtype=float32)",0.0,[5 3 4 0 0 0 0 0 1 1 2 5 0 0 0 4 5 0 0 0 0 0 0 0 15],False
14,[5 3 4 0 0 0 0 0 1 1 2 5 0 0 0 4 5 0 0 0 0 0 0 0 15],[0 0 1 1 1 3],0.0,[6 1 0 0 0 0 0 4 1 1 4 1 0 0 0 4 5 0 0 0 0 0 0 0 15],False
15,[6 1 0 0 0 0 0 4 1 1 4 1 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 1.9183612   0.77564824 -2.2628555  -0.5922792   0.23619428 10.        ], shape=(6,), dtype=float32)",0.1,[6 2 3 0 0 0 0 0 2 3 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],False
16,[6 2 3 0 0 0 0 0 2 3 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],[ 0  0  1  1  0 10],0.2,[6 3 3 3 3 0 0 0 4 0 0 5 0 0 0 4 5 0 0 0 0 0 0 0 15],False
17,[6 3 3 3 3 0 0 0 4 0 0 5 0 0 0 4 5 0 0 0 0 0 0 0 15],[0 0 1 1 1 4],0.0,[7 1 0 0 0 0 0 3 4 6 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],False
18,[7 1 0 0 0 0 0 3 4 6 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],[1 0 1 1 1 8],0.4,[7 2 5 4 2 5 0 0 4 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 15],False
19,[7 2 5 4 2 5 0 0 4 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.5315645   0.4239506  -1.3735098   0.07062791 -0.35224825 10.        ], shape=(6,), dtype=float32)",0.0,[7 3 5 4 2 5 0 0 5 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 15],False
20,[7 3 5 4 2 5 0 0 5 0 0 0 0 0 0 4 5 0 0 0 0 0 0 0 15],[1 0 1 0 0 6],0.0,[8 1 0 0 0 0 0 5 4 4 2 5 0 0 0 4 5 0 0 0 0 0 0 0 15],False
21,[8 1 0 0 0 0 0 5 4 4 2 5 0 0 0 4 5 0 0 0 0 0 0 0 15],[ 1  0  0  0  0 12],0.1,[8 2 5 0 0 0 0 0 3 1 2 2 0 0 0 4 5 0 0 0 0 0 0 0 15],False
22,[8 2 5 0 0 0 0 0 3 1 2 2 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.363248    0.48057106 -1.8682593  -0.41426176 -0.05725539 10.        ], shape=(6,), dtype=float32)",0.0,[8 3 5 0 0 0 0 0 5 2 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],False
23,[8 3 5 0 0 0 0 0 5 2 3 3 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.5144453   0.5929538  -1.8675197  -0.36103222 -0.22086564 10.        ], shape=(6,), dtype=float32)",0.0,[9 1 0 0 0 0 0 5 1 5 6 1 0 0 0 4 5 0 0 0 0 0 0 0 15],False
24,[9 1 0 0 0 0 0 5 1 5 6 1 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.6101775   1.1196625  -2.6223814  -0.691134    0.22647458 10.        ], shape=(6,), dtype=float32)",0.2,[9 2 5 5 0 0 0 0 0 2 1 3 0 0 0 4 5 0 0 0 0 0 0 0 15],False
25,[9 2 5 5 0 0 0 0 0 2 1 3 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor(
[ 2.9587369e+00  5.2386522e-04 -1.9743413e+00 -5.9912443e-01
  9.8356456e-03  1.0000000e+01], shape=(6,), dtype=float32)",0.0,[9 3 5 5 0 0 0 0 0 4 4 3 0 0 0 4 5 0 0 0 0 0 0 0 15],False
26,[9 3 5 5 0 0 0 0 0 4 4 3 0 0 0 4 5 0 0 0 0 0 0 0 15],[0 1 1 1 1 7],0.0,[10 1 0 0 0 0 0 5 5 4 3 4 0 0 0 4 5 0 0 0 0 0 0 0 15],False
27,[10 1 0 0 0 0 0 5 5 4 3 4 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.4852204   0.32206345 -2.3446643  -0.890311    0.01132467 10.        ], shape=(6,), dtype=float32)",0.1,[10 2 2 0 0 0 0 0 2 6 5 4 0 0 0 4 5 0 0 0 0 0 0 0 15],False
28,[10 2 2 0 0 0 0 0 2 6 5 4 0 0 0 4 5 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.9451013   0.5232715  -2.8033335  -0.88623863  0.2120086  10.        ], shape=(6,), dtype=float32)",0.0,[10 3 2 0 0 0 0 0 1 3 3 5 0 0 0 4 5 0 0 0 0 0 0 0 15],False
29,[10 3 2 0 0 0 0 0 1 3 3 5 0 0 0 4 5 0 0 0 0 0 0 0 15],[1 0 1 0 0 4],-10.0,[11 1 0 0 0 0 0 2 1 1 6 3 0 0 0 4 0 0 0 0 0 0 0 0 15],False
30,[11 1 0 0 0 0 0 2 1 1 6 3 0 0 0 4 0 0 0 0 0 0 0 0 15],[0 1 1 1 0 7],0.30000000000000004,[11 2 5 3 5 0 0 3 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 15],False
31,[11 2 5 3 5 0 0 3 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 15],[0 0 1 1 1 0],0.1,[11 3 5 3 5 4 0 5 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 15],False
32,[11 3 5 3 5 4 0 5 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 15],"tf.Tensor([ 2.8025317   0.6151606  -1.4877551   0.4765569  -0.42171472 10.        ], shape=(6,), dtype=float32)",0.0,[12 1 0 0 0 0 0 2 5 3 5 5 0 0 0 4 0 0 0 0 0 0 0 0 15],False
33,[12 1 0 0 0 0 0 2 5 3 5 5 0 0 0 4 0 0 0 0 0 0 0 0 15],[ 1  0  1  0  1 12],0.30000000000000004,[12 2 2 6 4 0 0 0 1 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0 15],False
34,[12 2 2 6 4 0 0 0 1 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0 15],[0 0 0 0 0 3],0.0,[12 3 2 6 4 0 0 0 3 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0 15],False
35,[12 3 2 6 4 0 0 0 3 0 3 0 0 0 0 4 0 0 0 0 0 0 0 0 15],[1 1 1 1 1 2],12.0,[13 1 0 0 0 0 0 2 1 6 1 4 0 0 6 4 0 0 0 0 0 0 0 0 15],False
36,[13 1 0 0 0 0 0 2 1 6 1 4 0 0 6 4 0 0 0 0 0 0 0 0 15],[0 1 1 1 0 1],0.30000000000000004,[13 2 5 3 4 0 0 2 0 0 0 4 0 0 6 4 0 0 0 0 0 0 0 0 15],False
37,[13 2 5 3 4 0 0 2 0 0 0 4 0 0 6 4 0 0 0 0 0 0 0 0 15],[1 0 1 1 1 1],0.2,[13 3 5 3 4 2 4 0 0 0 0 0 0 0 6 4 0 0 0 0 0 0 0 0 15],False
38,[13 3 5 3 4 2 4 0 0 0 0 0 0 0 6 4 0 0 0 0 0 0 0 0 15],"tf.Tensor([ 3.6971636   0.34075412 -1.6278806  -0.10361359 -0.42197683 10.        ], shape=(6,), dtype=float32)",0.0,[14 1 0 0 0 0 0 6 5 3 4 3 0 0 6 4 0 0 0 0 0 0 0 0 15],True
39,[1 1 0 0 0 0 0 3 2 4 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 1 1 0 5],0.30000000000000004,[1 2 3 4 6 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],False
40,[1 2 3 4 6 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 1 1 1 3],0.1,[1 3 3 4 6 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],False
41,[1 3 3 4 6 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[ 1  0  1  1  1 11],0.0,[2 1 0 0 0 0 0 3 2 4 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0],False
42,[2 1 0 0 0 0 0 3 2 4 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.3336966  -0.09676915  0.00952668 -0.04224132 -0.15408085  5.        ], shape=(6,), dtype=float32)",0.1,[2 2 5 0 0 0 0 0 1 3 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],False
43,[2 2 5 0 0 0 0 0 1 3 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.0330137   0.55975866 -0.06523094  0.039157   -0.35499072  5.        ], shape=(6,), dtype=float32)",0.0,[2 3 5 0 0 0 0 0 1 4 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0],False
44,[2 3 5 0 0 0 0 0 1 4 3 5 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0],0.0,[3 1 0 0 0 0 0 5 2 1 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0],False
45,[3 1 0 0 0 0 0 5 2 1 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.2128667  -0.26786926  0.06172161 -0.2603327  -0.36939052  3.        ], shape=(6,), dtype=float32)",0.1,[3 2 3 0 0 0 0 0 4 4 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0],False
46,[3 2 3 0 0 0 0 0 4 4 5 4 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.263721    0.09366262 -0.1117453  -0.09002528 -0.21159497 10.        ], shape=(6,), dtype=float32)",0.0,[3 3 3 0 0 0 0 0 1 4 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0],False
47,[3 3 3 0 0 0 0 0 1 4 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.6071521   0.34638852  0.03865257  0.25372642 -0.2796129   4.        ], shape=(6,), dtype=float32)",0.0,[4 1 0 0 0 0 0 3 5 3 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0],False
48,[4 1 0 0 0 0 0 3 5 3 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.7869849   0.028889   -0.6981612  -0.55273044 -0.22721444  3.        ], shape=(6,), dtype=float32)",0.0,[4 2 0 0 0 0 0 5 6 3 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],False
49,[4 2 0 0 0 0 0 5 6 3 1 4 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 0 0 7],0.1,[4 3 3 0 0 0 0 2 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],False
50,[4 3 3 0 0 0 0 2 2 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.78373504  0.4603512   0.03804744  0.09698242 -0.5221211   3.        ], shape=(6,), dtype=float32)",0.0,[5 1 0 0 0 0 0 1 2 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0],False
51,[5 1 0 0 0 0 0 1 2 1 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.64470327 -0.4611451  -0.5046233  -0.4501952  -0.11891061  3.        ], shape=(6,), dtype=float32)",0.0,[5 2 0 0 0 0 0 5 6 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0],False
52,[5 2 0 0 0 0 0 5 6 2 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 0.8545176   0.28366682 -0.58592665 -0.3795575  -0.44846505  3.        ], shape=(6,), dtype=float32)",0.0,[5 3 0 0 0 0 0 1 2 1 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0],False
53,[5 3 0 0 0 0 0 1 2 1 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0],[ 0  1  1  0  0 12],6.0,[6 1 0 0 0 0 0 4 2 5 3 4 0 0 0 0 0 0 0 0 0 0 0 0 3],False
54,[6 1 0 0 0 0 0 4 2 5 3 4 0 0 0 0 0 0 0 0 0 0 0 0 3],[0 0 0 0 1 2],0.1,[6 2 3 0 0 0 0 5 2 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 3],False
55,[6 2 3 0 0 0 0 5 2 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 3],[0 1 0 1 1 1],0.2,[6 3 3 2 6 0 0 3 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],False
56,[6 3 3 2 6 0 0 3 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],"tf.Tensor([ 0.93158996  0.77409357 -0.7013166  -0.16572088 -0.5463272   5.        ], shape=(6,), dtype=float32)",12.0,[7 1 0 0 0 0 0 6 1 6 1 3 0 0 0 0 0 6 0 0 0 0 0 0 3],False
57,[7 1 0 0 0 0 0 6 1 6 1 3 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 0.72431934  0.8338083  -0.04088962 -0.70413065 -0.52502143  5.        ], shape=(6,), dtype=float32)",0.0,[7 2 0 0 0 0 0 1 4 1 5 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
58,[7 2 0 0 0 0 0 1 4 1 5 5 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 0.9801507  -0.2754864  -0.14078093 -0.3626763  -0.29121217 10.        ], shape=(6,), dtype=float32)",0.1,[7 3 1 0 0 0 0 0 1 3 3 1 0 0 0 0 0 6 0 0 0 0 0 0 3],False
59,[7 3 1 0 0 0 0 0 1 3 3 1 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 0.9582357   0.47222298 -0.02473482 -0.55420876 -0.46213475  6.        ], shape=(6,), dtype=float32)",0.0,[8 1 0 0 0 0 0 4 1 6 4 6 0 0 0 0 0 6 0 0 0 0 0 0 3],False
60,[8 1 0 0 0 0 0 4 1 6 4 6 0 0 0 0 0 6 0 0 0 0 0 0 3],[0 0 0 0 0 1],0.0,[8 2 0 0 0 0 0 5 1 2 1 6 0 0 0 0 0 6 0 0 0 0 0 0 3],False
61,[8 2 0 0 0 0 0 5 1 2 1 6 0 0 0 0 0 6 0 0 0 0 0 0 3],[0 1 0 0 0 5],0.1,[8 3 1 0 0 0 0 3 0 6 2 6 0 0 0 0 0 6 0 0 0 0 0 0 3],False
62,[8 3 1 0 0 0 0 3 0 6 2 6 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.4701341   0.80391407 -0.10411453 -0.67758787 -0.6385831   5.        ], shape=(6,), dtype=float32)",-12.0,[9 1 0 0 0 0 0 3 5 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 3],False
63,[9 1 0 0 0 0 0 3 5 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 3],[0 1 1 1 1 3],0.4,[9 2 1 3 1 6 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],False
64,[9 2 1 3 1 6 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],[0 1 1 0 1 7],0.0,[9 3 1 3 1 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],False
65,[9 3 1 3 1 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3],"tf.Tensor([ 0.7930636   0.79596466 -0.16519961  0.44181216 -0.71938926  5.        ], shape=(6,), dtype=float32)",12.0,[10 1 0 0 0 0 0 2 1 3 1 6 0 0 0 0 0 6 0 0 0 0 0 0 3],False
66,[10 1 0 0 0 0 0 2 1 3 1 6 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 0.7437893  -0.04990166 -0.19958636 -0.6428639  -0.35838228 10.        ], shape=(6,), dtype=float32)",0.0,[10 2 0 0 0 0 0 3 5 1 6 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
67,[10 2 0 0 0 0 0 3 5 1 6 5 0 0 0 0 0 6 0 0 0 0 0 0 3],[0 1 1 1 1 1],0.4,[10 3 5 1 6 5 0 2 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 3],False
68,[10 3 5 1 6 5 0 2 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.0668439   0.8063547   0.33437404 -0.28557172 -0.9780874   5.        ], shape=(6,), dtype=float32)",0.0,[11 1 0 0 0 0 0 1 5 2 6 3 0 0 0 0 0 6 0 0 0 0 0 0 3],False
69,[11 1 0 0 0 0 0 1 5 2 6 3 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.2972     -0.11711025 -0.48594046 -0.6808671  -0.44806293 10.        ], shape=(6,), dtype=float32)",0.1,[11 2 2 0 0 0 0 0 2 5 3 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
70,[11 2 2 0 0 0 0 0 2 5 3 5 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.4152794  -0.05145407 -0.4764579  -0.86332804 -0.42242765 10.        ], shape=(6,), dtype=float32)",0.0,[11 3 2 0 0 0 0 0 2 4 6 6 0 0 0 0 0 6 0 0 0 0 0 0 3],False
71,[11 3 2 0 0 0 0 0 2 4 6 6 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.7144909  -0.23686212 -0.5889765  -0.78986675 -0.42460397 10.        ], shape=(6,), dtype=float32)",0.0,[12 1 0 0 0 0 0 2 6 5 1 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
72,[12 1 0 0 0 0 0 2 6 5 1 5 0 0 0 0 0 6 0 0 0 0 0 0 3],[1 0 1 0 0 7],0.2,[12 2 6 1 0 0 0 0 6 0 6 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
73,[12 2 6 1 0 0 0 0 6 0 6 5 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.8349676  -0.13550746 -0.16207093 -0.42959368 -0.640223   10.        ], shape=(6,), dtype=float32)",0.0,[12 3 6 1 0 0 0 0 1 0 4 1 0 0 0 0 0 6 0 0 0 0 0 0 3],False
74,[12 3 6 1 0 0 0 0 1 0 4 1 0 0 0 0 0 6 0 0 0 0 0 0 3],[0 0 0 1 0 5],0.0,[13 1 0 0 0 0 0 6 3 1 2 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
75,[13 1 0 0 0 0 0 6 3 1 2 5 0 0 0 0 0 6 0 0 0 0 0 0 3],[0 1 0 0 0 4],0.1,[13 2 3 0 0 0 0 6 0 5 1 5 0 0 0 0 0 6 0 0 0 0 0 0 3],False
76,[13 2 3 0 0 0 0 6 0 5 1 5 0 0 0 0 0 6 0 0 0 0 0 0 3],[ 0  0  0  0  0 11],0.0,[13 3 3 0 0 0 0 2 0 4 2 6 0 0 0 0 0 6 0 0 0 0 0 0 3],False
77,[13 3 3 0 0 0 0 2 0 4 2 6 0 0 0 0 0 6 0 0 0 0 0 0 3],"tf.Tensor([ 1.4390197   0.02100188 -0.400047   -0.8413917  -0.5327617  10.        ], shape=(6,), dtype=float32)",0.0,[14 1 0 0 0 0 0 3 3 2 5 4 0 0 0 0 0 6 0 0 0 0 0 0 3],True
78,[1 1 0 0 0 0 0 5 1 2 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor(
[ 1.5642809e+00 -4.0470339e-02  5.4886109e-01 -2.8839766e-03
 -5.4190302e-01  5.0000000e+00], shape=(6,), dtype=float32)",0.1,[1 2 5 0 0 0 0 0 2 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0],False
79,[1 2 5 0 0 0 0 0 2 2 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.3319916   0.47695255  0.45838425  0.15662603 -0.3441965  12.        ], shape=(6,), dtype=float32)",0.0,[1 3 5 0 0 0 0 0 4 1 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0],False
80,[1 3 5 0 0 0 0 0 4 1 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0],"tf.Tensor([ 1.7498581   0.5623665   0.9673248   0.19574323 -0.35276756 12.        ], shape=(6,), dtype=float32)",12.0,[2 1 0 0 0 0 0 5 1 2 4 5 0 0 0 0 0 0 0 0 0 0 0 0 6],False
81,[2 1 0 0 0 0 0 5 1 2 4 5 0 0 0 0 0 0 0 0 0 0 0 0 6],[1 0 1 0 0 6],0.2,[2 2 5 1 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 6],False
82,[2 2 5 1 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.1290942   0.4260413  -0.21069759  0.19617729 -0.4156173   5.        ], shape=(6,), dtype=float32)",0.0,[2 3 5 1 0 0 0 0 5 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 6],False
83,[2 3 5 1 0 0 0 0 5 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.101763    0.36165962 -0.19486663  0.01496859 -0.5883975   3.        ], shape=(6,), dtype=float32)",0.0,[3 1 0 0 0 0 0 5 5 1 4 2 0 0 0 0 0 0 0 0 0 0 0 0 6],False
84,[3 1 0 0 0 0 0 5 5 1 4 2 0 0 0 0 0 0 0 0 0 0 0 0 6],[0 0 1 1 0 9],0.2,[3 2 6 3 0 0 0 4 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6],False
85,[3 2 6 3 0 0 0 4 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.2839721   0.70785135  0.1702982   0.23417477 -0.46794644  5.        ], shape=(6,), dtype=float32)",0.1,[3 3 6 3 4 0 0 0 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6],False
86,[3 3 6 3 4 0 0 0 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.137261    0.40070865 -0.71759677 -0.0218261  -0.7282681   3.        ], shape=(6,), dtype=float32)",8.0,[4 1 0 0 0 0 0 6 4 6 3 4 0 0 0 4 0 0 0 0 0 0 0 0 6],False
87,[4 1 0 0 0 0 0 6 4 6 3 4 0 0 0 4 0 0 0 0 0 0 0 0 6],[0 1 0 1 0 6],0.2,[4 2 4 6 0 0 0 2 0 4 0 1 0 0 0 4 0 0 0 0 0 0 0 0 6],False
88,[4 2 4 6 0 0 0 2 0 4 0 1 0 0 0 4 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.1825795   0.44246292 -0.6543433   0.19298668  0.10003954 10.        ], shape=(6,), dtype=float32)",0.1,[4 3 4 6 2 0 0 0 0 6 0 3 0 0 0 4 0 0 0 0 0 0 0 0 6],False
89,[4 3 4 6 2 0 0 0 0 6 0 3 0 0 0 4 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.6534696   0.41090104 -0.8875261  -0.01440669  0.1067912  10.        ], shape=(6,), dtype=float32)",0.0,[5 1 0 0 0 0 0 1 4 2 6 5 0 0 0 4 0 0 0 0 0 0 0 0 6],False
90,[5 1 0 0 0 0 0 1 4 2 6 5 0 0 0 4 0 0 0 0 0 0 0 0 6],"tf.Tensor([ 1.2756739  -0.7655034  -0.75252795 -0.9584643   0.19532584 10.        ], shape=(6,), dtype=float32)",0.1,[5 2 4 0 0 0 0 0 3 6 2 1 0 0 0 4 0 0 0 0 0 0 0 0 6],False
91,[5 2 4 0 0 0 0 0 3 6 2 1 0 0 0 4 0 0 0 0 0 0 0 0 6],[ 1  1  0  0  1 12],0.2,[5 3 4 3 1 0 0 0 0 5 5 0 0 0 0 4 0 0 0 0 0 0 0 0 6],False
